X,Y,Z
-45.9999999995,7.105427357604276e-15,-2.4393230490459408e-15
-32.7737186594,-3.456683020538579e-14,0.0
-32.295833636058106,-3.406315994408835e-14,-0.03830691920181743
-31.833349411502194,-3.355590170269346e-14,-0.1511922356254264
-31.39734581965333,-3.2959025155267375e-14,-0.33436727827804813
-30.997959375510415,-3.2058677966740396e-14,-0.582009312024816
-30.644177521601904,-3.047518946371145e-14,-0.886932432633729
-30.34366197343997,-2.7626294902698074e-14,-1.2407886695110395
-30.102605530542018,-2.268243320902821e-14,-1.6342933492814173
-29.925625520805422,-1.4504864309510327e-14,-2.0574685798886394
-29.815695908889765,-1.5545085430297427e-15,-2.4998985972269194
-29.8087766618,0.0,-2.542704738
-29.318662388471747,0.0,-5.956483141516794
-28.885301458697047,0.0,-9.473864795547694
-28.471111303069932,0.0,-13.381289872814992
-27.907947396579694,0.0,-19.21351780936696
-27.037461077703288,0.0,-27.784739112525298
-25.442302743372025,0.0,-42.926231267596954
-24.045531879752325,0.0,-55.59466711896227
-22.539495080241917,0.0,-68.6417798447799
-21.092001330413453,0.0,-80.54149012972061
-19.678978934967997,0.0,-91.53266620231848
-18.355543751257322,0.0,-101.25256806591013
-17.049122973188265,0.0,-110.28251657959103
-15.792073701775971,0.0,-118.44240880752925
-14.617348499662357,0.0,-125.57923993635704
-13.47285124784475,0.0,-132.06893235094088
-12.396844509489792,0.0,-137.7624500635635
-11.36658002038525,0.0,-142.8229971696883
-10.432496511279481,0.0,-147.10860248011267
-9.568766879363936,0.0,-150.7462865499426
-8.655753965007559,0.0,-154.39811364754476
-7.9938721860123625,0.0,-156.81544273507996
-7.315332487330617,0.0,-159.04921025294612
-6.503151015397545,0.0,-161.8042877355021
-5.912003809969289,0.0,-164.04874755581426
-5.254415697491397,0.0,-166.4601902611577
-4.592400102652788,0.0,-168.6278733046944
-3.5809425259238807,3.2551957762617273e-17,-171.80330558296714
-3.2533161736550866,3.056234922715658e-16,-172.87699999999253
-3.0982172401082497,2.0447784801806962e-17,-173.52081534647388
-3.015157027900251,-9.861889325538467e-17,-174.17579042885296
-3.000032705528191,-9.463915900766963e-18,-174.58218933819353
-3.00000000026,0.0,-174.602
-3.0,-6.226944146700004e-16,-188.96
-3.036512019059018,-5.753554478063545e-16,-189.62091686402542
-3.19835368204,0.0,-190.49
-3.8207147969254596,0.0,-192.70654276238997
-4.698053426748369,0.0,-195.71845725932795
-5.235552408627118,0.0,-197.81079602497147
-5.86131278931535,0.0,-200.4955075362269
-6.9584389717152435,0.0,-205.3495144354827
-7.9840179903696065,0.0,-209.7964072577032
-8.554455909281279,0.0,-212.5817246489533
-9.203596527208438,0.0,-216.0744050689996
-9.902484960325301,0.0,-220.19731341665823
-10.515345038493614,0.0,-224.23475487456994
-11.187689218940644,0.0,-229.12398316255096
-11.797482200033981,0.0,-234.07970584435333
-12.396340836051538,0.0,-239.5185290275721
-12.968757261295062,0.0,-245.35902738858312
-13.50408990841575,0.0,-251.54502610235627
-14.00408308384192,0.0,-258.1387194231489
-14.466365158239963,0.0,-265.1730432246293
-14.874776818662163,0.0,-272.46975650828716
-15.239700503520453,0.0,-280.2580094763743
-15.540911865741384,0.0,-288.212625959477
-15.790673286493393,0.0,-296.69144484303945
-15.97537567796941,0.0,-305.39741648511705
-16.093453151208212,0.0,-314.33034905861155
-16.145722876560825,0.0,-323.7025613507463
-16.147310468972126,0.0,-327.31700088482427
-16.145999985188386,0.0,-334.8000000141116
-17.3460000004,3.5527136788000004e-15,-336.0
-21.6249999993,3.5527136788000004e-15,-336.0
